node,runtime_x,runtime_y,avgReRuntime
2671.0,167.0618999004364,258.6077001094818,0.8575494376315371
2331.0,171.4961001873016,265.5153999328613,0.8803832395882343
498.0,171.4695999622345,267.91970014572144,0.8843072756080611
1848.0,171.9516000747681,267.6039001941681,0.8850182869924474
329.0,169.69569993019104,271.69980001449585,0.8860370921475
2544.0,173.77129983901978,268.05379986762995,0.8904290893205535
1336.0,176.39789986610413,264.4019999504089,0.8910977294844051
634.0,173.70620012283325,268.64299988746643,0.891240513575295
782.0,174.50430011749268,267.99680018424993,0.892213100213031
266.0,170.103600025177,275.21060013771057,0.8929116441086169
2381.0,173.56040000915527,270.16429996490484,0.8933927087109985
2181.0,174.98049998283386,268.6061000823974,0.8944452257766904
1320.0,170.80729985237122,277.0367999076843,0.8977473098946587
1836.0,176.51029992103577,268.7974998950958,0.8986838291375094
1827.0,173.56369996070862,273.4097001552582,0.8987896330201967
327.0,176.875,268.6340000629425,0.899347075263821
2463.0,177.36039996147156,267.9128000736237,0.8993936985586182
715.0,174.80420017242432,272.2074999809265,0.8999729236797422
2433.0,176.42239999771118,269.76419997215265,0.9000635957130316
72.0,177.5912001132965,268.0278000831604,0.90017616898348
1622.0,175.3125,272.1813998222351,0.9012323402152436
256.0,172.70359992980957,276.2657001018524,0.9013271618241141
1911.0,177.6554000377655,268.65350008010864,0.9013795852875706
399.0,176.83439993858337,269.94509983062744,0.9014198899177819
2595.0,173.58390021324158,275.072900056839,0.9016028822102988
369.0,175.47760009765625,272.3154001235962,0.9018779710271481
1573.0,177.97599983215332,268.7653000354767,0.9023868953458779
254.0,177.33790016174316,269.9621000289917,0.902738566495952
714.0,176.09190011024475,272.27379989624023,0.9033833263216926
952.0,173.73919987678528,276.9132001399994,0.9050564321204477
1072.0,178.17300009727478,270.65550017356867,0.9060301732325023
2619.0,175.3146002292633,275.18790006637573,0.9062295346283687
2359.0,176.46810007095337,273.69110012054443,0.9067007112123573
912.0,176.5485999584198,273.82920002937317,0.9071363218873111
1290.0,175.53769993782043,275.6803998947144,0.9076190470552459
914.0,176.5543999671936,274.25119996070856,0.9078518502976096
870.0,175.39419984817505,276.0569000244141,0.9078763802954918
1949.0,178.8904001712799,270.86540007591253,0.9082173454081497
292.0,173.92170000076294,278.64849996566767,0.9084053596054944
2575.0,177.6085000038147,272.9916000366211,0.9084621018524057
328.0,177.27080011367798,274.00010013580317,0.9092710435667206
1302.0,178.41980004310608,272.4270000457764,0.9096040029037309
1164.0,174.94350004196167,277.8535001277924,0.9097042215453736
784.0,177.21630001068115,274.47609996795654,0.909921683434634
