Thu Mar 15 11:04:20 2018
             JOBID PARTITION     NAME     USER    STATE       TIME TIME_LIMI  NODES NODELIST(REASON)
            487079    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487080    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487081    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487082    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487083    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487086    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487087    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487088    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487089    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487090    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487091    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487092    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487093    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487094    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487095    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487096    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487097    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487098    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487099    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487100    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487101    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487102    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            487103    pbatch vasp_PBE    ray30  PENDING       0:00   9:00:00     32 (Dependency)
            494781    pbatch  rK001B1 lefcochi  PENDING       0:00  22:00:00      3 (Priority)
            494783    pbatch rLi001B1 lefcochi  PENDING       0:00  22:00:00      3 (Priority)
            494786    pbatch rRb001B1 lefcochi  PENDING       0:00  22:00:00      3 (Priority)
            494790    pbatch  rY001M1 lefcochi  PENDING       0:00  14:00:00      3 (Priority)
            494793    pbatch  Ca001M1 lefcochi  PENDING       0:00  12:00:00      3 (Priority)
            494797    pbatch rMg101M1 lefcochi  PENDING       0:00  15:00:00      3 (Priority)
            494801    pbatch rMg101B1 lefcochi  PENDING       0:00  18:00:00      3 (Priority)
            494802    pbatch  rV101B1 lefcochi  PENDING       0:00  23:50:00      3 (Priority)
            494771    pbatch job1_qua sherlock  PENDING       0:00 1-00:00:00      8 (Priority)
            486147    pbatch ramp75ws     saad  PENDING       0:00 1-00:00:00     10 (Priority)
            493909    pbatch       55      per  PENDING       0:00  10:00:00     64 (Priority)
            493957    pbatch       55      per  PENDING       0:00   5:00:00     64 (Priority)
            478424    pbatch   125K-1 rlindsey  PENDING       0:00 1-00:00:00     80 (Priority)
            477787    pbatch    DPFMJ    link6  PENDING       0:00  14:00:00     67 (Priority)
            487913    pbatch simplifi    kim67  PENDING       0:00  15:30:00      1 (Priority)
            487225    pbatch    DPFMJ    link6  PENDING       0:00  14:00:00     67 (Priority)
            480329    pbatch psub_74.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            481408    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            481409    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            487196    pbatch vasp_oct  varley2  PENDING       0:00  12:00:00      8 (Priority)
            487197    pbatch vasp_oct  varley2  PENDING       0:00  12:00:00      8 (Priority)
            478466    pbatch vasp_con  varley2  PENDING       0:00  12:00:00      8 (Priority)
            478588    pbatch vasp_con  varley2  PENDING       0:00  12:00:00      8 (Priority)
            478585    pbatch vasp_con  varley2  PENDING       0:00  12:00:00      8 (Priority)
            487722    pbatch  vasp_db  varley2  PENDING       0:00  12:00:00      6 (Priority)
            487723    pbatch  vasp_db  varley2  PENDING       0:00  12:00:00      6 (Priority)
            486973    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486185    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486261    pbatch psub_74.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486267    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486485    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486665    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486970    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486980    pbatch psub_84.  varley2  PENDING       0:00  20:00:00      3 (Priority)
            486981    pbatch psub_100  varley2  PENDING       0:00  20:00:00      3 (Priority)
            493422    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493421    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493420    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493434    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493435    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493436    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493437    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493438    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493439    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493440    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493441    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493442    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493443    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493444    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493445    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493446    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493447    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493449    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493450    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493451    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493452    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493453    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493454    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493455    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493456    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493457    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493458    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493459    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493460    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493461    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493462    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            493463    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
